Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,10,13480.267,27.959,33,63,1.56
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,11,13692.063,30.332,28,60,1.69
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,12,13797.169,30.967,28,58,1.72
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,13,14122.002,34.425,26,55,1.86
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,14,14126.566,34.468,27,52,1.87
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,15,13851.699,31.485,25,52,1.73
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,16,14068.299,33.541,24,50,1.95
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,17,14244.528,35.214,26,44,2.04
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,18,14475.741,37.408,22,40,2.04
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,19,14742.641,39.942,20,40,1.95
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,20,14394.792,36.64,19,43,1.78
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,21,14535.886,37.979,18,41,1.92
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,22,14912.462,41.554,17,39,2.02
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,23,14659.932,39.157,17,39,1.98
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,24,14755.367,40.063,15,42,2.02
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,25,14352.905,36.242,14,38,1.88
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,26,14243.21,35.201,12,39,1.83
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,27,14224.41,35.023,12,40,1.84
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,28,14154.051,34.355,12,33,1.82
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,29,14318.517,35.916,12,31,1.88
BTCUSDT,1d,2017-01-01,2020-12-31,SMA,30,14325.296,35.98,13,33,1.88
