Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,10,14158.863,18.96,5,8,1.05
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,11,14028.518,17.865,5,8,1.08
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,12,15349.698,28.965,5,4,1.55
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,13,14081.044,18.306,3,5,1.16
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,14,14014.114,10.261,1,6,0.69
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,15,13694.304,7.745,1,6,0.53
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,16,13317.758,4.783,1,6,0.33
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,17,13296.68,4.617,1,5,0.3
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,18,13316.205,4.77,1,5,0.33
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,19,12907.87,1.558,1,4,0.15
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,20,12683.616,-0.207,1,5,-0.02
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,21,12759.507,0.39,1,5,0.04
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,22,12895.765,1.462,1,5,0.15
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,23,12393.17,-2.492,1,5,-0.39
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,24,13022.545,2.46,1,3,0.44
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,25,12951.91,1.904,1,4,0.33
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,26,12782.878,0.574,1,4,0.1
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,27,13056.68,2.728,1,3,0.49
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,28,12867.593,1.241,1,3,0.2
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,29,13041.882,2.612,1,3,0.47
BTCUSDT,1w,2017-01-01,2020-12-31,SMA,30,13229.447,4.088,1,2,0.8
