Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,10,6338.869,-36.694,1365,4517,-4.53
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,11,6269.522,-37.581,1263,4325,-4.73
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,12,6210.38,-38.17,1182,4149,-4.72
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,13,6470.479,-35.576,1108,4061,-4.27
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,14,6764.059,-32.653,1050,3923,-3.83
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,15,6952.9,-30.773,992,3762,-3.62
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,16,7111.973,-29.189,932,3649,-3.36
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,17,7500.352,-25.265,886,3502,-2.81
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,18,7519.47,-25.075,842,3429,-2.8
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,19,7540.878,-24.861,814,3353,-2.75
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,20,7849.316,-21.788,780,3291,-2.35
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,21,7847.594,-21.865,742,3196,-2.36
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,22,8093.381,-19.356,720,3099,-2.04
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,23,8230.808,-17.987,696,3016,-1.9
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,24,8225.357,-18.041,676,2962,-1.9
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,25,8413.696,-16.228,659,2888,-1.67
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,26,8592.932,-14.444,632,2860,-1.45
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,27,8786.499,-12.516,623,2769,-1.25
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,28,9071.819,-9.676,608,2693,-0.95
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,29,9091.473,-9.48,593,2665,-0.93
BTCUSDT,30m,2017-01-01,2020-12-31,SMA,30,9227.829,-8.122,590,2598,-0.8
