Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,10,12331.625,22.37,185,475,1.89
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,11,12314.571,22.201,170,444,1.85
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,12,12486.27,23.905,158,410,1.98
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,13,12689.948,25.926,142,391,2.14
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,14,13145.433,30.446,135,360,2.5
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,15,13317.859,32.157,128,343,2.53
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,16,13219.702,31.416,125,320,2.46
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,17,13533.796,34.538,119,315,2.68
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,18,13915.655,38.089,112,311,2.86
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,19,13441.853,33.387,107,308,2.48
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,20,13662.316,35.575,101,299,2.61
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,21,13860.99,35.244,92,291,2.58
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,22,13402.971,30.775,87,288,2.35
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,23,13522.223,31.976,92,274,2.5
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,24,13356.722,30.361,92,266,2.41
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,25,13548.763,32.235,92,252,2.56
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,26,13672.093,33.742,89,235,2.56
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,27,13381.143,30.896,87,230,2.41
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,28,13551.292,32.56,85,215,2.53
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,29,13396.441,31.045,83,215,2.53
BTCUSDT,4h,2017-01-01,2020-12-31,SMA,30,13267.078,29.78,81,212,2.47
