Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,10,12662.606,24.392,27,82,1.48
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,11,12785.625,25.354,28,74,1.49
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,12,13026.419,27.714,24,67,1.61
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,13,12679.264,24.311,25,66,1.41
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,14,12141.647,18.71,23,63,1.1
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,15,12286.264,20.124,21,60,1.19
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,16,12153.181,18.822,22,55,1.26
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,17,12736.072,24.521,20,55,1.4
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,18,13477.11,31.767,18,46,1.8
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,19,13595.793,32.927,18,47,1.88
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,20,13810.224,35.024,21,42,2.01
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,21,13931.162,36.206,18,38,2.04
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,22,13912.189,36.02,15,42,1.91
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,23,13866.32,35.572,16,40,2.01
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,24,13955.477,36.444,16,37,1.86
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,25,14714.328,43.863,14,40,1.66
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,26,14671.535,43.445,15,40,1.65
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,27,14536.759,42.127,13,38,1.59
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,28,14721.074,43.929,14,36,1.67
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,29,14792.281,44.625,14,34,1.71
ETHUSDT,1d,2017-01-01,2020-12-31,SMA,30,14642.561,43.161,13,34,1.67
