Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,10,8698.879,-13.131,720,2048,-1.16
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,11,8935.466,-10.769,660,1971,-0.95
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,12,9588.137,-4.251,616,1875,-0.35
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,13,9905.664,-1.08,568,1802,-0.09
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,14,9947.842,-0.659,538,1714,-0.05
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,15,10368.371,3.541,511,1657,0.28
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,16,10571.3,5.567,506,1588,0.45
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,17,10789.695,7.748,483,1548,0.62
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,18,11188.506,11.731,484,1489,0.92
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,19,11982.174,19.657,462,1406,1.49
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,20,12037.954,20.214,434,1387,1.51
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,21,11634.662,16.186,414,1365,1.24
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,22,11955.556,19.391,391,1319,1.48
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,23,11732.855,17.167,379,1297,1.33
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,24,11361.401,13.457,364,1282,1.09
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,25,11586.161,15.702,352,1255,1.27
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,26,11576.564,15.606,342,1216,1.27
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,27,11683.223,16.671,328,1202,1.27
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,28,11410.807,13.951,310,1201,1.08
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,29,11393.935,13.782,307,1162,1.05
ETHUSDT,1h,2017-01-01,2020-12-31,SMA,30,11071.586,10.563,292,1155,0.82
