Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,10,13685.773,19.945,3,6,0.95
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,11,13484.26,18.179,3,8,0.87
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,12,13657.121,19.694,3,5,1.15
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,13,14124.783,21.617,3,4,1.24
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,14,14207.172,3.509,2,4,0.34
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,15,14557.209,6.06,2,4,0.63
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,16,15632.347,8.305,2,2,0.83
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,17,14532.08,0.682,2,3,0.1
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,18,14864.487,2.985,2,2,0.48
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,19,14702.58,1.863,1,3,0.3
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,20,14114.164,-2.213,1,4,-0.33
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,21,13837.63,-4.129,1,3,-0.51
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,22,13751.332,-4.727,1,3,-0.77
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,23,13631.313,-5.559,1,3,-0.84
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,24,13842.119,-4.098,1,3,-0.72
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,25,13510.099,-6.399,1,3,-1.71
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,26,13565.898,-6.012,2,2,-1.33
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,27,13634.672,-5.535,2,2,-1.3
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,28,13057.94,-9.531,1,4,-2.52
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,29,13227.769,-8.355,1,4,-2.52
ETHUSDT,1w,2017-01-01,2020-12-31,SMA,30,13514.563,-6.368,1,3,-2.2
