Pair,Timeframe,Start,End,Strategy,Period,Final value,%,Total win,Total loss,SQN
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,10,7259.805,-27.404,1433,4178,-2.68
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,11,7400.495,-26.027,1321,3994,-2.48
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,12,7433.04,-25.701,1238,3892,-2.44
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,13,7935.458,-20.679,1175,3740,-1.9
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,14,8264.271,-17.605,1101,3591,-1.58
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,15,8061.649,-19.625,1023,3492,-1.77
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,16,8341.972,-16.831,991,3365,-1.52
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,17,8382.202,-16.429,940,3276,-1.46
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,18,8350.475,-16.746,910,3172,-1.51
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,19,8296.795,-17.281,877,3053,-1.59
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,20,8435.166,-15.901,847,2982,-1.45
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,21,8531.429,-14.942,825,2924,-1.32
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,22,8944.83,-10.82,777,2831,-0.92
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,23,9228.96,-7.987,737,2792,-0.67
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,24,9365.952,-6.561,713,2747,-0.54
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,25,9432.9,-5.893,684,2710,-0.48
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,26,9563.156,-4.594,663,2663,-0.38
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,27,9634.163,-3.885,640,2598,-0.32
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,28,9489.01,-5.333,624,2576,-0.44
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,29,9617.385,-4.053,611,2518,-0.33
ETHUSDT,30m,2017-01-01,2020-12-31,SMA,30,9963.076,-0.604,590,2475,-0.05
